Annee_prod,Bassin_versant,Cap_tot_act,Cap_tot_init,Cote,Date,Latitude,Longitude,Nom_Ar,Nom_Fr,_id,apports,cumul_annee_prec,cumul_annuel_apports,cumul_annuel_lachers,cumul_mensuel_apports,cumul_mensuel_lachers,fonctionnel,id_barrage,lachers,moy_mois,moy_periode,stock,stock_annee_prec
1954,10300.0,51.13,267.67,265.0,2019-05-26T00:00:00,36.3144,8.70273,مـــــلاق ,mellegue,1,1.42075,22.176,209.504,191.081,4.30854,1.31708,1,1,0.05,17.3775,148.832,39.425,18.0622
1954,103.0,60.393,61.63,436.5,2019-05-26T00:00:00,36.7471,8.74188,بنيمطيــر ,benmetir,2,5.81639,39.1938,55.9041,32.2214,7.6936,1.995,1,2,0.06078,1.27743,42.402,60.8766,52.2896
1968,101.0,76.9,81.875,292.04,2019-05-26T00:00:00,36.7614,9.0023,كســاب,kasseb,3,1.22884,32.3973,50.2182,23.2992,2.21927,2.33823,1,3,0.092,0.913573,42.47,61.6694,46.2427
1998,177.0,64.7,74.82,182.0,2019-05-26T00:00:00,36.7341,8.53173,بربرة,barbara,4,7.68474,88.8864,113.107,100.195,14.4456,11.3151,1,4,8.26214,1.69462,82.2945,67.2735,64.0494
1981,7950.0,580.35,814.0,115.0,2019-05-26T00:00:00,36.5907,9.39706,سيدي ســــالم,sidisalem,5,1.71055,165.396,626.939,328.869,17.0409,22.2841,1,5,0.0432,19.9305,378.369,569.209,177.646
1976,390.0,112.037,117.5,221.0,2019-05-26T00:00:00,36.6719,8.78758,بو هرتمـــــه,bouheurtma,6,6.23214,72.3365,150.341,86.179,11.549,14.1431,1,6,1.76782,2.78374,79.2046,106.567,76.4909
1983,418.0,118.773,129.9,90.0,2019-05-26T00:00:00,36.9909,9.61373,جوميــــــن,joumine,7,0.324605,45.2861,90.1586,40.3951,1.7836,3.43611,1,7,0.093312,1.85273,74.3464,95.254,62.6301
1984,48.0,10.004,11.7,82.5,2019-05-26T00:00:00,37.0594,9.54582,غزالـــــــة,ghezala,8,0.0340116,5.62318,10.3294,3.89731,0.145074,0.3152,1,8,0.0,0.226176,9.30376,9.54939,6.05284
2015,85.9,41.0,41.0,136.0,2019-05-26T00:00:00,37.0359,9.41093,المالح,melah,9,0.466601,,,,0.525342,1.16363,1,33,0.03236,0.68,25.2539,36.295,
1994,367.0,134.014,137.5,86.5,2019-05-26T00:00:00,37.181,9.47513,سجنــــــان,sejnane,10,1.38318,92.1452,151.189,129.515,2.54113,7.54831,1,9,0.120412,0.61677,116.743,101.566,79.5556
2012,60.0,24.0,24.0,93.0,2019-05-26T00:00:00,36.8824,8.69921,الزرقة,zarga,11,3.47855,31.0135,45.433,35.8238,4.79477,3.61567,1,10,2.93612,0.64,21.9158,25.03,22.888
2014,85.2,64.4,64.4,85.0,2019-05-26T00:00:00,36.8751,8.71699,الكبير,kebir,12,5.01467,,50.0683,46.3417,7.38696,4.59126,1,31,2.88144,3.33512,39.0479,9.538,6.456
2013,58.0,26.3,26.3,110.0,2019-05-26T00:00:00,36.9347,8.84504,المولى,moula,13,2.51579,,42.6399,37.8146,4.36239,3.71,1,32,2.91,1.49326,31.5355,26.6804,23.384
2015,85.9,41.0,41.0,136.0,2019-03-31T00:00:00,37.0359,9.41093,المالح,melah,1824,0.0,,,,0.385218,1.18264,1,33,0.04939,1.57,23.144,39.02,
1999,865.0,286.514,286.514,27.0,2019-05-26T00:00:00,37.0261,8.93618,سيدي البــــراق,selbarrak,14,10.0709,250.846,359.412,276.889,16.5491,10.4861,1,11,10.0686,3.70243,290.902,287.14,278.365
2012,95.0,33.0,33.0,37.0,2019-05-26T00:00:00,37.1856,9.20109,الزياتين,ziatine,15,0.268444,31.2843,17.0442,31.9102,0.476488,0.096632,1,12,0.002854,0.9,28.9705,32.9169,32.7988
2012,35.5,18.3,18.3,48.0,2019-05-26T00:00:00,37.1991,9.26906,القمقوم,gamgoum,16,0.146397,12.379,39.1642,15.0659,0.321353,0.0,1,13,0.0,0.035559,7.95454,17.8369,17.8655
1987,1040.0,33.4411,70.0,388.5,2019-05-26T00:00:00,36.1571,9.35208,سليانـــــــة,siliana,17,0.571835,4.19121,49.2882,23.8768,1.90697,1.61022,1,14,0.008975,2.01139,33.6833,32.5831,5.87705
1966,127.0,7.22,8.22,517.06,2019-05-26T00:00:00,35.9952,9.47242,لخمـــــــاس,lakhmess,18,0.0447315,1.55788,6.03972,1.84007,0.281804,0.360882,1,15,0.0,1.00958,11.7039,6.96133,2.34589
2002,232.0,2.0,4.0,285.0,2019-05-26T00:00:00,36.302,9.50269,الرميـــــــل,rmil,19,0.00106232,0.279303,7.52961,5.17995,0.0585069,0.07119,1,16,0.000379,0.174369,9.84059,1.8938,0.0579
1971,1263.0,41.599,52.9,122.5,2019-05-26T00:00:00,36.5112,10.0114,بئر المشارقـــة,birmcherga,20,0.0848299,3.59327,42.0079,10.3008,0.633325,0.07344,1,17,0.00432,1.17327,25.2426,40.8094,13.0332
1998,675.0,23.83,22.0,43.0,2019-05-26T00:00:00,36.3318,10.3597,الرمــــــل,rmel,21,0.0,0.967258,27.9341,3.96869,0.0884282,0.273,1,18,0.0105,0.16702,15.6387,20.4377,4.6157
1965,855.0,58.76,86.5,230.0,2019-05-26T00:00:00,36.06,9.87235,نبهانــــــة,nebhana,22,0.0470189,2.62628,26.7686,7.05565,0.50102,1.43596,1,19,0.01084,1.36161,21.2219,22.163,2.93355
1981,8950.0,133.317,209.0,270.0,2019-05-26T00:00:00,35.3901,9.69476,سيدي سعـــد ,sidisaad,23,0.484174,10.1102,71.3544,23.5474,1.17811,1.74529,1,20,0.000337,4.36556,41.062,72.7232,30.7494
1989,1120.0,77.47,95.3,217.0,2019-05-26T00:00:00,35.5727,9.74681,هـــــــوارب,elhaouareb,24,0.571466,0.575755,21.571,1.20311,0.820233,0.062068,1,21,0.0,0.818174,13.9772,8.56562,0.206072
2005,173.65,7.71,4.24,677.8,2019-05-26T00:00:00,35.3413,9.07053,سفيسيفة,sficifa,25,0.0,3.21412,3.31559,0.2,0.0162796,0.0,1,22,0.0,2.214,28.9705,2.13949,1.304
1997,1900.0,88.0,88.0,541.0,2019-05-26T00:00:00,34.7468,8.74761,سيدي يعيــــش ,sidiach,26,0.0,0.246059,5.98988,0.6,0.0,0.0,1,23,0.0,0.262516,1.67457,4.4375,1.157
